id	text
tam_test_29	குடும்பத்துடன் அணைவரும் சேர்ந்து பார்க்கும் திரைபடம்ன்னு சொல்வாங்கன்னு நெனச்சேன் பட் எமோசனல் சீன் போல Anandhi y ma this like??
tam_test_30	பொள்ளாச்சியில் பாதிக்க பட்ட முக்கால்வாசி பெண்கள் கவுண்ட பெண்கள் தான், உங்க சாதிவெறி கும்பல் என்னடா பண்ணிடிங்க, உங்க யுவராஜ் என்னா மயிரையா புடிங்கிகிட்டு இருந்தான், அதிகாரத்தில இருக்குறவங்க பூலைஊம்ப முடியல, அடித்தட்டு மக்கள் பூலை ஊம்ப வந்துட்டானுவ  ...
tam_test_31	என்னடா கையாலயே சுடுரான் நா அப்படியே ஷாக் ஆய்ட்டேன்
tam_test_32	அகமுடையார் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
tam_test_33	செருப்ப கழட்டி அடிச்சமாதிரி இருக்கும் குருமா & குஞ்சித் குரூப்புக்கு🤣 கதறியே சாவுங்கடா புளு சட்டை பாய்ஸ். செங்குந்த முதலியார் சமூகம் சார்பாக படம் மாபெரும் வெற்றிபெற வாழ்த்துக்கள்
tam_test_34	நம்ம ஒரு ஏரியில் குதித்து விளையாடுவம்ல அது எங்க அது மேல்தான் நடக்குரொம் செம்ம
tam_test_35	அடுத்த தலைவலி படம்..டிரைலருக்கு நன்றி...நல்ல வேளை தியேட்டரில் போயி மாட்டிக்கவில்லை..நச நசவென ஒரே மாதிரியான அரைச்ச மாவு சீன்ஸ்..பாட்டை ஆடியோ வெர்ஷன்ல கேட்பது நலம்...தாரே சமீன் பர் போன்ற( அஞ்சலி ஸ்டைல்)படங்களைத்தான் மக்கள் மணியிடம் இருந்து எதிர்பார்க்கிறார்கள்...இது போன்ற குப்பைகளை எடுக்க பல இயக்குனர்கள் இங்கு உள்ளனர்...இசையையும், கேமராவையும் தவிர மணி படத்தில் ஒரு விஷயமும் இருக்காது என்பது இந்த படமும் உதாரணம்.
tam_test_36	Movie ண்டு சொன்னா இதற்கு பெயர் தான் அஜீத் தல
tam_test_37	வேற லெவல்   இந்த மாதிரி படம் எடுக்கனுன்னு நெனச்ச இயக்குனருக்கு முதல் வணக்கம்   தாயாரிக்க முன்வந்த தயாரிப்பாளருக்கும் பட குழுவினருக்கும் மனமார்ந்த வாழ்த்துக்கள்
tam_test_38	# திரௌபதி ரசிகர்படையே... இதோ வாரான்டா # கர்ணன்
tam_test_39	திரௌபதி gang bang mom  அருமையாக நடித்துள்ளார்கள் சகோ
tam_test_40	எங்கள் ஊரில் அனைத்து மக்களும் இலவசமாக திரெளபதி படம் பார்க்க  பேருந்தில் அழைத்து செல்ல போகிறோம்..
tam_test_41	என்னடா இன்னும் எவனும் வராம இருக்கான்....பரம்பரை சொத்துக்காரன எங்க
tam_test_42	வாரே... வா செம ஆக்சன் பேக் இருக்கு.Heavy expectation eagerly waiting
tam_test_43	அண்ணா இந்த படம் எப்ப வரும்னு நான் ரொம்பவும் எதிர்பாக்கரன்....இதுவர நான் எந்த படத்துக்கும் தியட்டர் வாசலில் பட்டாசு வெடிச்சது இல்லை.... ஆனால் இந்த படத்துக்கு கண்டிப்பா பட்டாசு வெடிசிட்டுதான் உள்ள போவோம்.....
tam_test_44	இந்த படம் சாதியை கடந்து ஒற்றுமையாக வாழ கற்றுக் கொள்ளும் படம். சாதியை கடந்து அனைவரையும் நேசிக்கும் தமிழர்கள் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துக்கள்.
tam_test_45	நவீன திரௌபதி சமூகத்திற்கான முதல் படம்.........எங்களுக்கு மண், பெண் தெய்வத்திற்கு சமம்............கொங்கு நாடு மக்கள் தேசிய கட்சி..........
tam_test_46	வன்னியர் சார்பாக வாழ்துக்கள் கௌன்டர் சார்பாக வாழத்துக்கள் முக்குலத்தோர் சார்பாக வாழத்துக்கள் உங்க சாதி கூதில போட்டு நாய் ஒழக்க தேவிடியா பசங்கலா திரௌபதி கூதிபதி டைரக்டருக்கு கண்டிப்பா அடி இருக்குடா
tam_test_47	ப.ரஞ்சித் புள்ளி வச்சான் திரௌபதி டீம் கோலம் போட்டாங்க யாருகிட்ட
tam_test_48	இது வன்னியர் சமூகத்திற்கான படம் மட்டும் அல்ல.  அனைத்து சமுதாய மக்களின் படம்  ஒவ்வொரு வீடுகளில் உள்ள பெண் பிள்ளைகளுக்கான படம் #திரௌபதி அசுரன்களை வதம் செய்கிறாள்
tam_test_49	எப்படியோ படம் ஓடாது 🤣🤣🤣 அக்னி குஞ்சு புஹா ஹா ஹா
tam_test_50	புதுக்கோட்டை அகமுடைய வெள்ளாளர் சார்பாக படம் வெள்ளி விழா காண வாழ்த்துக்கள்
tam_test_51	இந்த நாய் எலெக்ஷன் அப்போ தெரு தெருவா கத்தினு இருந்துச்சு இப்ப இங்க வந்துஇருக்குது 🤣
tam_test_52	திருமா கிருஷ்ண சாமி போன்றோர் வேலை இது தான் தரமான படம் அரசியல் செய்ய அவர்களுக்கு தெரிந்த வேலை நாடக காதல் தரமான படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_53	வீரம் எங்களின் அடையாளம் விவேகம் எங்களின் வெற்றி
tam_test_54	படத்தை சீக்கிரம் ரீலிஸ் பண்ணுங்க இல்லை ஏங்கீயே செத்துடுவேன்!!! என் காதலிக்கிட்டே சொன்ன வசனம் இப்ப தான் இந்த படத்துக்காக இரண்டாவது முறை சொல்றேன்
tam_test_55	உதயநிதி ஸ்டாலின் எல்லாரும் மறந்துடிங்க.. கமெண்டல  உதயநிதி ஸ்டாலின் பத்தியும் கொஞ்சம் சொல்லுங்கப்பா
tam_test_56	திரௌபதி ========== மண்ணையும் பெண்ணையும் காக்க வந்த நாயகி....  நாடக காதலை தோலுரிக்கும் நவீன திரௌபதி.....  பிஞ்சில் பழுத்தா வெம்பி தான் வாடும் நஞ்சை சுவைத்தால் மரணம் தான் மிஞ்சும்.....  பெற்றவருக்கு தான் தெரியும் வளர்த்த பாரம் சுற்றுபவனுக்கு தெரியுமா வாழ்க்கையின் தூரம்.....  அட்டகத்தியில் கல்யாணத்திற்கு  முன்பே அனுபவி என்பவன் புரட்சி இயக்குனரா????  கல்யாணம் வரை கன்னியமா இரு என்பவர் சாதிய இயக்குனரா???  காமாலை கண்களுக்கு காண்பதெல்லாம்  காமம் தான்.... கன்னிய கண்களுக்கு காண்பதெல்லாம் கடவுள் தான்....  காலா, கபாலி கொம்பன் தேவராட்டம் படியேறும் பெருமாள் அசுரன் வரை வராத சாதிவெறி எப்படி திரௌபதி படத்தின் படசுருக்கத்தை  பார்த்ததும்...  தீ பிடித்தது... வலியின் குமுறல்கள். ...  புரட்சி பேசும் கருப்பு சட்டைகளே கேள்வி கேட்கும் ஊடக வியாபாரிகளே...  எங்கே சென்றீர்கள் நவீனாவின் கழுத்து அறுப்பட்டபோது....  எங்கே சென்றீர்கள் திலகவதியின் உயிர் கத்தி குத்தில் பிரிந்தபோது.....  எங்கே சென்றீர்கள் காம சிறுத்தைகள் நான்கு, கர்ப்பிணியை கற்பழித்த போது....  ஒரு கண்டன குரல் கூட இல்லையே  உங்களிடம்... உங்களின் சமதர்ம சாக்கடையில் காரி உமிழ்கிறோம்....  படத்தை படமா பாருங்கள் எதிர்முனையில் நியாயம் தெரியும்...  திருடனுக்கு 🦂 கொட்டினால் வலிக்க தான் செய்யும்.       கா.தெய்வா.
tam_test_57	நாடக காதலுக்கு நல்ல செருப்படி    தென்னாட்டு தேவன் ஆப்பநாட்டு மறவன்,,,.
tam_test_58	உண்மைய உறக்க சொன்ன படகுழுவினருக்கு வாழ்த்துகள் ~^~
tam_test_59	கடைசியா எங்க வீட்டு பெண் சிங்கம் வருது...
tam_test_60	என்ன கொடுமையா இது  ஒரே ஓரு like button தான் இருக்கு!........
tam_test_61	தளபதி ரசிகர்கள் கண்டிப்பாக இப்படத்தை வரவேற்பார்கள்....மிக மிக கேவலமாக இருக்கு...அதுக்கு தான் சொல்றேன்..
tam_test_62	சூர்யா வேற லெவல் மூவி செம ஹிட்... வாழ்த்துக்கள்...
tam_test_63	அடேய், மண்டகாரா... உனக்கு மட்டும் எங்கிருந்து டா இப்படி ஒரு அறிவு வருது, என்னடா ட்ரைலர் இது, எப்படி டா உன்னால மட்டும் இதெல்லாம் முடியுது, பொறாமையா இருக்கு டா.. Sorry for too many da's. This man is simply awesome, so கொஞ்சம் உணர்ச்சிவசப்பட்டுட்டேன்
tam_test_64	ஒரே சாதியில் நடைபெறும் நிகழ்வுகளைதான் இதுவரை தமிழ் சினிமாவில் இருந்தது ...அசுரன் மாதிரி இரு சாதியின் வேறுபாட்டை சொல்லிக்கொடுத்து வன்மத்தை விதைப்பதாக இருக்க கூடாது... வாழ்த்துக்கள் படம் வெற்றி பெற
tam_test_65	ஜெயம் ரவி. மற்றும் டைரக்டர் இருவரும் தேவிடியாலுக்கு பிறந்தவன் என்று நிருபித்து விட்டானுங்க.டேய் ரஜினி 96ல அரசியலுக்கு வருவதா எங்கயாவது கூறி அதற்கு ஆதாரம் உள்ளதா பத்திரிகை எழதியது ரசிகர்கள் அழைத்தார்கள் ஆனால் ரஜினி எங்கேயும் தான் அரசியலுக்கு வருவது உறுதி என்று 96ல் கூறவில்லை 2016 தான் அரசியலுக்கு வருவது உறுதி என்றார் வரலாறு தெரியாதவனுங்க பப்லிசிட்டிக்காக செய்த அசிங்கம் .நீ யார் வேணாலும் காலச்சிக்கோ ஆனா ரஜினி ரசிகர்கள் மீது கை வைச்ச பீஸ் பீஸ்தான்.. தேவிடியா பசங்களா .
tam_test_66	படையசியார் மாவட்டம் சார்பாக மோகன் G அவர்களுக்கு என்னுடைய வாழ்த்துக்கள்....
tam_test_67	சேலம் மாவட்ட பாட்டாளி மக்கள் கட்சி மற்றும் வன்னியர் சங்கம் சார்பாக இந்த திரைப்படம் வெள்ளிவிழா காண வெற்றி வாழ்த்துக்கள்
tam_test_68	திருச்சி சோழிய வெள்ளாளர்கள் சங்கம் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்...
tam_test_69	நீங்கள் சிலை ஓன்று திறந்தீர்கள் அல்லவா அது போலவே மயிராட்டம் இருக்கு ..  Ops Next தர்ம யுத்தம் @:- அம்மா வாங்கம்மா  உங்கள வச்சி செய்யரானுங்க
tam_test_70	வெட்டி முடித்தவுடன் ..எல்லா ஜாதியினர் மயிர்களையும் கூட்டி பெருக்கி வெளியே தள்ளினான்.. முடி வெட்டும் தொழிலாளி
tam_test_71	மிக தைரியமான முயற்சி..  வாழ்த்துக்கள்.  கொங்கு வேளாளர் சமுதாயம் சார்பாக முழு ஆதரவையும் தெரிவித்துக்கொள்கிறோம்.  இந்த படத்திற்க்கு எதிராக எல்லா முயற்சிகளும் எதிரிகள் எடுப்பார்கள்.  அதை முறியடித்து படம் வெற்றியடைய வேண்டும்
tam_test_72	மாவீரன் அழகுமுத்துக்கேன்  வாரிசுகள் வட மாவட்ட( யாதவர்) கேனார் சார்பாக வாழ்த்துகள்
tam_test_73	கதறல் சத்தம் காது குளிர கேக்குதுடா......  கூமுட்டை  குருமா.....
tam_test_74	எல்லா பெண்குழந்தைகளும் பார்க்க வேண்டும் இந்த படத்தை. அந்த திரெளபதி கிருஷ்ணனை சரணாகதி அடைந்தாள். பெண் பெற்ற அனைவரும் இந்த திரெளபதியிடம் சரணாகதி அடைந்து ஆறுதலும் தீர்வும் அடைவார்கள் என்பது சத்தியம்
tam_test_75	தென்னாட்டு தேவேந்திரகுலவேளாளர் இளைஞர் அனைவரும் இப்படத்திற்கு ஆதரவு தருகிறோம்...
tam_test_76	தோழர் ஒரு வன்னியன்  செட்டியாரையோ, அல்லது மற்ற உயர்ந்த சாதியினர் ேவரு சாதி பெண்களை ஏமாற்றவே இல்லையா?அது எல்லாம்   உங்களுக்கு நாடக காதல் இல்லையா? அது என்ன காதல்
tam_test_77	நெல்லை யாதவர் சமுதாயம் மற்றும் தேவர் , வண்ணியர் ,நாடார் , தேவேந்திர குல வேளாளர் , செட்டியார் ,கவுண்டர் ,முதலியார் , விஸ்வகர்மா ,முத்திரையார்  சமுதாயம் சார்பாக படம் மாபெரும் வெற்றி வாகை சூட வாழ்த்துகிறோம்
tam_test_78	அந்த பக்கம் நான் இந்து முஸ்லிம் கிருத்துவனு சாகுறாங்க. இந்த பக்கம் நான் புடுங்குன சாதி புடுங்காத சாதினு சாகுறீங்க. சாவுங்க சாவுங்க நல்லா சாவுங்க எல்லா ரும் செத்த பின்னாடியாவது நான் மனுசன் எனக்கு மனிதம் தான் முக்கியம் வேற எதுவும் வேணாம் னு சொல்ற தலைமுறை வருதானு பார்ப்போம். வாழ்த்துக்கள் சாக தயாராக இருங்கள் எல்லோருமாக.
tam_test_79	சினிமாவின்  சைக்கோ மிஷ்கின் சார் வேறலெவல் சார் வாழ்த்துக்கள்
tam_test_80	Perfect dialogue ஓவியம் வரையரவன் தன் பிள்ளைக்கு என்ன சொல்லி தருவான்... ஓவியம் வரைய... எங்க அப்பா militaryகாரன் டா... கோலி விளையாடாவா சொல்லி தருவான்...
tam_test_81	தீண்டாமை ஜாதி எண்ணம் இல்லாமல் வாழ கத்துக்கொடுக்காமல் இப்படி ஒரு சமூக தீண்டாமையை மேலும் வளக்குறிங்களேபா.   இப்படி ஒரு சமூகத்தில் வாழவே மாமியாருக்கு.   Neengaley comments full ah padichu paarunga ஜாதி eppadi velayaduthunu paarunga.  So sad
tam_test_82	பெண்கள் பற்றிய  தரமான படம் அனைத்து பெண்கள் பார்க்க ச௳டிய படம்
tam_test_83	புரட்சி ,திருநங்கைகள் ஆதரவு,பெண்களுக்கு சம உரிமை ஜாதி,பெரியார்,அண்ணா அரச்ச மாவையே அரைங்கடா....
tam_test_84	டிரைலரை பார்க்கும்போது படம் ஹிட் என்று தெரியுது
tam_test_85	மாவீரன் வன்னியர் படை சார்பாக வாழ்த்துக்கள் ,
tam_test_86	அடேய் விறகு கட்டய வச்சி Tata sumoye பறக்க விடிருங்களேடா.....🤣
tam_test_87	வீர வன்னியர் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_88	Mohan G Anna movie super Anna வன்னியர் சங்கம் சார்பாக பாடம் வெற்றி பெற நல்வாழ்த்துக்கள் G anna
tam_test_89	பொண்மானிக்கவேல்  அந்த மீசை மட்டும் மிஸ் ஆகுது !!!
tam_test_90	கோனார் சமுதாயத்தின் சார்பாக திரௌபதி திரைப்படம் மாபெரும் வெற்றி பெற வாழ்த்துகள்
tam_test_91	இது படம் இல்லை இதிகாசம்.... பலர் மனதில் உள்ள அதீத உணர்வின் வெளிப்பாடு  இப்படம் திரைக்கு வந்தாலே 100 நாள் ஒடியதற்கு சமம்..
tam_test_92	ஆக இந்த படத்தை வண்மையாக கண்டிக்கிறேன் - ஸ்டாலின் /மாமா வளவன்
tam_test_93	திமிறி எழுபவள் இவளே இனி திருப்பி அடிப்பவள் இவளே  #திரௌபதி   யார் மேல கை வச்சாலும் வெட்டுவோம் #திரௌபதி
tam_test_94	திருப்பூர் காங்கயம் கவுண்டர்களின் சார்பாக வாழ்த்துக்கள் படம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்
tam_test_95	இன்னும் அதிகப் படியாக இந்த ட்ரைலரை பார்ப்பதற்கு அதிகமாக பகிர்வு செய்யுங்கள் 5 மில்லியன் பார்வையாளர்களையும் தாண்டி செல்லட்டும்
tam_test_96	ராக்கி பாய் குளத்தின்  சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_97	அழிவின் விளிம்பில் இருக்கும் சவுராஷ்டிரா சமூக மக்களின் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_98	டிரெய்லர் வெளியான 24 மணி நேரத்திற்குள்  1 மில்லியன் பார்வையாளர்களை கடந்து வீறு நடை போடுகிறாள் #திரௌபதி..
tam_test_99	உன்மையை உரக்கச்சொல்வோம் தடைகலைத்தான்டி திரௌபதி வெற்றிபெரும் காலத்தின் கட்டாயம்
tam_test_100	சிவகார்த்திகேயன் அண்ணா ரசிகர்கள் சார்பாக இந்த படம் வெற்றி அடைய வாழ்த்துக்கள்
tam_test_101	இது நாடக காதல் கும்பலுக்கு : அடங்க மறு அடிவாங்கி சாவு
tam_test_102	தோல்நோய்களை சீராக்கும் தொட்டாற்சுருங்கி இலையின் சிறப்பு தமிழ் கோல்ஊனும் கிழவனையும் வாள் வீசும் வீரனாக மாற்றும் முருங்கை கீரையின் அருமைதமிழ் அறிய மக்கள் தொலைக்காட்சி நிகழ்ச்சிகளை யூ டியூப் ல் காணுங்கள் நன்றி.
tam_test_103	ஜாதி சண்டை ,மதச் சண்டை , இல்லையடி பாப்பா...என் பாசமிகு திருநெல்வேலி மாவட்டத்தில்
tam_test_104	எங்க அப்பா மிலிட்டரி டா கோலி விளையாடவா சொல்லிகொடுப்பான்
tam_test_105	டேய் neethanada rajini அரசியல் க்கு வருவன்னு சொன்ன உடனே.. nee தானடா தலைவா வாங்க னு சப்போர்ட் பண்ணிட்டு twitt போட்ட.. அட பரதேசி நாயே..aduthuvangala  kindal பண்ணி  பெரிய ஆல் ஆவலானு நெனைக்குற எந்த thevudiya பையனும் munnernatha சரித்திரமே இல்லை
tam_test_106	இப்படத்தை திமுக தலைவர் ஸ்டாலின் பார்க்க வேண்டிய படம்
tam_test_107	இந்த படத்துக்கு ஃபர்ஸ்ட் டே ஃபர்ஸ்ட் ஷோ போறோம்
tam_test_108	20 வருடத்துல உலகம் அழிச்ச பிறகு எந்த சாதி இருக்குமோ அந்த சாதி காரன் யாராவது இருக்கீங்க லா ப்ளீஸ் லைக்?????
tam_test_109	தயவு செய்து இந்த படத்தை வன்னிய இன மக்களாகிய நாம் ஒன்று கூடி வெற்றி பெற செய்ய வேண்டும் நம் இன தயாரிப்பாளர் மோகன் அவர்களைப்பரையன் பா ரஞ்சித் முகத்தில் மலத்தை பூசவேண்டும் இந்த ரஜினி பொறம்போக்கு நாய் ரஞ்சித் படத்துல மட்டும் தான் நடிக்கும் ..
tam_test_110	படம் வெற்றி சிறந்த வெற்றிப்படமாக அமைய வாழ்த்துகள் நண்பா
tam_test_111	ஜாதி என்பது நம்முடைய பிறப்பால் வந்தது...இதை யாராலும் ஒழிக்க முடியாது...இங்க யாரும் யாருக்கும் உயர்ந்தவன், தாழ்ந்தவன் கிடையாது... உடல் உறுப்புகள் அனைவருக்கும் ஒன்று தான்...உயர்ந்தவனுக்கு கொம்பு இருக்கா? இல்ல thaalnthavanukku வாலு இருக்கா? அனைவரும் சகோரதத்துடன், ஒற்றுமையுடன் வாழ்வோமே! தமிழ் வாழ்க?
tam_test_112	வீர சைவர்கள் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_113	நாடக காதல் கம்பனி முதலாளியை தரமா வசுசி செஞ்சிரிக்கு
tam_test_114	கொங்கு வேளாளர் கவுண்டர் பேரவை கோவை மாவட்டம் சார்பாக வாழ்த்துக்கள் ‌.....முதல் நாள் முதல் காட்சி மாஸ் ஹீரோ படம் போல தாரை தப்பட்டை கிழிய வரவேற்போம்.....
tam_test_115	முக்குலத்தோர் சமுதாயம் சார்பாக வாழ்த்துக்கள் அண்ணா  மண்ணும் பொண்ணும் தான் நம்ம உயிர் கெளரவம் எல்லாமே அதுல கை வச்சா எவனா இருந்தாலும் வெட்டணும்
tam_test_116	Aliens  சமூகம் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
tam_test_117	அடங்காத்தமிழன் தமிழகத்து சூப்பர் ஸ்டார் எங்கள் பைரவாவின் வருகை எதிரிக்கு என்றும் தோல்வியை பரிசாகவும் எங்கள் விஜய்க்கு வெற்றி மகுடம் சூட்டவும் வாழ்த்துகிறோம் -பைரவாவின் வருகைக்காக வெறித்தனமாக காத்திருக்கும் விஜய் முரட்டு பக்தர்கள் திருச்சி
tam_test_118	எங்க ஆட்டம் இனிமேல் வெறித்தனம இருக்கும்....kumpakonam   padayachi pasanga saarpaga vaalthukkal  #திரௌபதி
tam_test_119	டிரெய்லர் மரன மாஸ் இயக்குனர் அண்ணன் மோகன் G அவர்களுக்கு திரௌபதி படம் வெற்றி பெற வாழ்த்துகள்  வேற லெவல் வெறித்தனம்..
tam_test_120	உள்ளதை உள்ளபடி சொல்லி பெற்றோர்களை மனதை குளிர்விக்க வருக
tam_test_121	இத்தன சாதி பயலுவளும் ஒன்னா சேர்ந்து பறையருக்கு எதிரா கத்துறீகனா. இங்க எவன் வலிமைமிக்கவன்னு தெரியுதா. ஒத்தைக்கு ஒத்த நின்னா மசுரை கூட புடுங்க முடியாது.
tam_test_122	@thamarai kannan- அட அறை கிருக்கா!!! பள்ளு இலக்கியம் பேசாலாமா???. வேளாளனுக்கு பள்ளன் அடிமை நுதாண்டே இருக்கு.. பேரூர் பள்ளு , செங்கோட்டு பள்ளு  .. வரி எடுத்து இங்க போடவா பாடல் என்னோட?!?! அசிங்கப்படாத ஓடீறு பள்ள பயலே.. பள்ளனாம் மள்ளனாம் வேளாளனாம்.. அவன் அவன் அடையாளத்த தூக்கி புடிங்கடா கம்னாட்டிகளா...
tam_test_123	வன்னியர் சங்கம் &பாட்டாளி மக்கள் கட்சி சார்பாக திரௌபதி வெற்றி பெற வாழ்த்துக்கள்
tam_test_124	நாடார் சமுகத்தின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_125	திரும்ப திரும்ப அரைச்ச மாவு சீன் 1:32  எத்தனை நாளைக்குதான் இந்த மாதிரி விளையான்டுகிட்டே அறுவை பேச்சு பேசுற சீனை வைப்பாரோ தெரியல்ல..
tam_test_126	கடலூர் வன்னியர் சமுதாயம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_127	மத்திய அரசு உன் இடஒதுக்கீடுல ஆப்பு வைக்கிறான் அதை பத்தி பேசாம இப்டி கேவலமா படம் எடுக்குறீயே தப்பு இல்ல..? . . அக்னி குஞ்சு : தப்பே இல்ல... முந்திரி தோப்புல சாராயம் காய்ச்சி பொழச்சிக்கலாம் னு எங்கய்யா சொல்லி இருக்காப்ல. டிக்டாக்ல ஜாதி பெருமை பேசி மாஸ காட்றதுல தான் நம்ப குல பெருமை இருக்குது னு சொல்லியிருக்காப்ல.
tam_test_128	ஒரு தலித் சமுதாயத்த சேர்ந்தவனா இருந்தாலும் இந்த பட டிரெய்லரை திரும்ப திரும்ப பார்க்கனும் போல தோணுது அது ஏன் என்று தெரியவில்லை
tam_test_129	ஏண்டா மிஷ்கின் தமிழ்நாட்டுல எவனுக்கும் நடிக்கத்தெரியாதுன்னு சொல்லிப்புட்டு இப்ப நடிப்புன்னா என்னன்னு தெரியாத ஒருத்தன வைச்சு படம் எடுக்குற....
